Feature,Importance
Stock_Marktet,0.19413771833990995
Mutual_Funds,0.10404578121855103
Gold,0.10055566667057074
Debentures,0.08697683226258651
Reason_FD,0.0776839964161721
PPF,0.0663602570605653
Equity_Market,0.06536195623669448
Government_Bonds,0.047006818520908544
Source,0.04134630407502099
gender,0.033486707207866694
Fixed_Deposits,0.03125645980496406
Reason_Equity,0.028349608697531184
Reason_Bonds,0.027006357611268857
What_are_your_savings_objectives?,0.024880774148087793
Purpose,0.019914479346245295
age,0.018375748699030768
Reason_Mutual,0.013460324827004573
Objective,0.013339634940150254
Factor,0.006401218836900102
Expect,3.300462348529289e-05
Invest_Monitor,1.1638259137645654e-05
Duration,8.712197347924061e-06
Avenue,0.0
